yearMonth,elementType,averageValue
181103,TMIN,4.87
181104,TMAX,15.79
181104,TMIN,9.22
181105,TMAX,23.48
181105,TMIN,15.45
181106,TMAX,26.49
181106,TMIN,18.9
181107,TMAX,27.4
181107,TMIN,20.27
181108,TMAX,24.92
181108,TMIN,18.28
181109,TMAX,21.21
181109,TMIN,14.97
181110,TMAX,17.67
181110,TMIN,12.37
181111,TMAX,9.38
181111,TMIN,5.3
181112,TMAX,3.26
181112,TMIN,0.1
181201,TMAX,-1.04
181201,TMIN,-5.97
181202,TMAX,4.16
181202,TMIN,-0.47
181203,TMAX,7.92
181203,TMIN,3.26
181204,TMAX,11.19
181204,TMIN,4.7
181205,TMAX,21.08
181205,TMIN,13.57
181206,TMAX,23.75
181206,TMIN,16.35
181207,TMAX,23.82
181207,TMIN,17.24
181208,TMAX,24.13
181208,TMIN,17.29
181209,TMAX,19.47
181209,TMIN,12.55
181210,TMAX,15.46
181210,TMIN,10.38
181211,TMAX,5.87
181211,TMIN,2.37
181212,TMAX,-1.01
181212,TMIN,-4.69
181301,TMAX,0.26
181301,TMIN,-2.59
181302,TMAX,6.49
181302,TMIN,1.77
181303,TMAX,9.44
181303,TMIN,2.77
181304,TMAX,16.45
181304,TMIN,8.76
181305,TMAX,21.07
181305,TMIN,13.94
181306,TMAX,21.6
181306,TMIN,14.92
181307,TMAX,23.72
181307,TMIN,16.37
181308,TMAX,22.95
181308,TMIN,16.39
181309,TMAX,19.12
181309,TMIN,13.22
181310,TMAX,13.72
181310,TMIN,9.21
181311,TMAX,7.05
181311,TMIN,3.62
181312,TMAX,4.15
181312,TMIN,0.92
181401,TMAX,1.37
181401,TMIN,-2.19
181402,TMAX,0.16
181402,TMIN,-5.02
181403,TMAX,7.33
181403,TMIN,2.33
181404,TMAX,16.42
181404,TMIN,9.95
181405,TMAX,17.8
181405,TMIN,11.09
181406,TMAX,22.57
181406,TMIN,16.22
181407,TMAX,26.14
181407,TMIN,19.17
181408,TMAX,24.45
181408,TMIN,18.19
181409,TMAX,18.64
181409,TMIN,12.41
181410,TMAX,13.67
181410,TMIN,8.96
181411,TMAX,9.46
181411,TMIN,6.11
181412,TMAX,5.78
181412,TMIN,3.15
181501,TMAX,0.87
181501,TMIN,-2.6
181502,TMAX,6.68
181502,TMIN,2.51
181503,TMAX,12.63
181503,TMIN,6.06
181504,TMAX,16.04
181504,TMIN,9.08
181505,TMAX,21.56
181505,TMIN,14.82
181506,TMAX,23.27
181506,TMIN,17.08
181507,TMAX,24.2
181507,TMIN,17.85
181508,TMAX,23.52
181508,TMIN,17.44
181509,TMAX,20.92
181509,TMIN,15.24
181510,TMAX,15.9
181510,TMIN,11.47
181511,TMAX,7.11
181511,TMIN,3.48
181512,TMAX,1.55
181512,TMIN,-1.68
181601,TMAX,2.73
181601,TMIN,-0.33
181602,TMAX,3.35
181602,TMIN,-1.85
181603,TMAX,8.47
181603,TMIN,3.15
181604,TMAX,14.72
181604,TMIN,7.82
181605,TMAX,19.52
181605,TMIN,12.76
181606,TMAX,22.43
181606,TMIN,15.74
181607,TMAX,24.43
181607,TMIN,17.5
181608,TMAX,23.15
181608,TMIN,16.51
181609,TMAX,20.71
181609,TMIN,14.15
181610,TMAX,15.62
181610,TMIN,10.15
181611,TMAX,8.1
181611,TMIN,3.96
181612,TMAX,2.57
181612,TMIN,-1.22
181701,TMAX,4.82
181701,TMIN,1.08
181702,TMAX,8.74
181702,TMIN,2.99
181703,TMAX,11.16
181703,TMIN,4.24
181704,TMAX,12.04
181704,TMIN,4.24
181705,TMAX,20.14
181705,TMIN,12.44
181706,TMAX,25.44
181706,TMIN,17.73
181707,TMAX,26.21
181707,TMIN,18.77
181708,TMAX,25.78
181708,TMIN,18.5
181709,TMAX,22.56
181709,TMIN,16.1
181710,TMAX,12.42
181710,TMIN,7.93
181711,TMAX,9.59
181711,TMIN,5.29
181712,TMAX,3.94
181712,TMIN,0.7
181801,TMAX,3.85
181801,TMIN,0.31
181802,TMAX,6.57
181802,TMIN,1.6
181803,TMAX,11.4
181803,TMIN,5.36
181804,TMAX,16.43
181804,TMIN,9.18
181805,TMAX,19.92
181805,TMIN,13.88
181806,TMAX,24.78
181806,TMIN,17.26
181807,TMAX,26.44
181807,TMIN,19.61
181808,TMAX,24.28
181808,TMIN,18.06
181809,TMAX,21.76
181809,TMIN,15.45
181810,TMAX,15.94
181810,TMIN,10.38
181811,TMAX,9.47
181811,TMIN,5.68
181812,TMAX,2.75
181812,TMIN,-0.58
181901,TMAX,2.86
181901,TMIN,-1.06
181902,TMAX,6.59
181902,TMIN,2.05
181903,TMAX,11.82
181903,TMIN,5.81
181904,TMAX,16.95
181904,TMIN,10.1
181905,TMAX,20.63
181905,TMIN,13.24
181906,TMAX,24.68
181906,TMIN,17.57
181907,TMAX,27.14
181907,TMIN,19.71
181908,TMAX,25.5
181908,TMIN,18.88
181909,TMAX,22.28
181909,TMIN,15.86
181910,TMAX,15.84
181910,TMIN,10.93
181911,TMAX,9.06
181911,TMIN,5.72
181912,TMAX,3.59
181912,TMIN,0.14
182001,TMAX,0.57
182001,TMIN,-3.98
182002,TMAX,5.62
182002,TMIN,1.42
182003,TMAX,9.17
182003,TMIN,3.42
182004,TMAX,17.21
182004,TMIN,10.17
182005,TMAX,22.1
182005,TMIN,14.94
182006,TMAX,23.36
182006,TMIN,16.37
182007,TMAX,26.26
182007,TMIN,18.96
182008,TMAX,29.04
182008,TMIN,21.1
182009,TMAX,21.29
182009,TMIN,15.09
182010,TMAX,15.39
182010,TMIN,10.22
182011,TMAX,7.36
182011,TMIN,3.82
182012,TMAX,3.35
182012,TMIN,0.04
182101,TMAX,3.26
182101,TMIN,-0.08
182102,TMAX,5.12
182102,TMIN,-1.39
182103,TMAX,9.32
182103,TMIN,3.49
182104,TMAX,17.04
182104,TMIN,10.3
182105,TMAX,20.85
182105,TMIN,14.08
182106,TMAX,21.48
182106,TMIN,14.78
182107,TMAX,24.92
182107,TMIN,18.02
182108,TMAX,25.88
182108,TMIN,19.09
182109,TMAX,23.24
182109,TMIN,16.87
182110,TMAX,15.3
182110,TMIN,9.93
182111,TMAX,10.37
182111,TMIN,5.69
182112,TMAX,5.7
182112,TMIN,1.92
182201,TMAX,4.59
182201,TMIN,0.86
182202,TMAX,7.64
182202,TMIN,2.25
182203,TMAX,15.36
182203,TMIN,7.31
182204,TMAX,16.52
182204,TMIN,9.18
182205,TMAX,22.15
182205,TMIN,14.29
182206,TMAX,28.68
182206,TMIN,19.28
182207,TMAX,27.76
182207,TMIN,19.79
182208,TMAX,26.46
182208,TMIN,18.42
182209,TMAX,22.4
182209,TMIN,15.89
182210,TMAX,16.76
182210,TMIN,11.33
182211,TMAX,9.9
182211,TMIN,6.16
182212,TMAX,2.64
182212,TMIN,-0.82
182301,TMAX,-1.63
182301,TMIN,-5.96
182302,TMAX,5.3
182302,TMIN,1.18
182303,TMAX,9.78
182303,TMIN,3.79
182304,TMAX,14.54
182304,TMIN,7.89
182305,TMAX,22.15
182305,TMIN,14.43
182306,TMAX,23.39
182306,TMIN,16.48
182307,TMAX,26.18
182307,TMIN,18.58
182308,TMAX,27.18
182308,TMIN,19.43
182309,TMAX,22.93
182309,TMIN,15.99
182310,TMAX,16.21
182310,TMIN,10.97
182311,TMAX,8.15
182311,TMIN,3.66
182312,TMAX,4.84
182312,TMIN,1.43
182401,TMAX,3.44
182401,TMIN,-1.35
182402,TMAX,6.62
182402,TMIN,0.79
182403,TMAX,8.79
182403,TMIN,2.02
182404,TMAX,13.85
182404,TMIN,5.51
182405,TMAX,19.44
182405,TMIN,11.24
182406,TMAX,22.24
182406,TMIN,13.74
182407,TMAX,26.28
182407,TMIN,17.58
182408,TMAX,25.75
182408,TMIN,17.15
182409,TMAX,22.74
182409,TMIN,13.99
182410,TMAX,15.4
182410,TMIN,9.49
182411,TMAX,10.5
182411,TMIN,5.04
182412,TMAX,7.19
182412,TMIN,2.78
182501,TMAX,4.28
182501,TMIN,-0.51
182502,TMAX,5.62
182502,TMIN,-0.27
182503,TMAX,7.42
182503,TMIN,0.39
182504,TMAX,16.48
182504,TMIN,8.16
182505,TMAX,20.23
182505,TMIN,12.32
182506,TMAX,23.63
182506,TMIN,15.37
182507,TMAX,25.64
182507,TMIN,17.45
182508,TMAX,25.36
182508,TMIN,17.16
182509,TMAX,22.28
182509,TMIN,14.63
182510,TMAX,14.79
182510,TMIN,7.71
182511,TMAX,9.57
182511,TMIN,5.4
182512,TMAX,7.75
182512,TMIN,4.49
182601,TMAX,-1.55
182601,TMIN,-5.93
182602,TMAX,5.45
182602,TMIN,-0.09
182603,TMAX,10.44
182603,TMIN,3.79
182604,TMAX,15.14
182604,TMIN,8.07
182605,TMAX,18.11
182605,TMIN,10.96
182606,TMAX,23.62
182606,TMIN,15.48
182607,TMAX,26.99
182607,TMIN,19.16
182608,TMAX,27.81
182608,TMIN,18.97
182609,TMAX,22.01
182609,TMIN,14.11
182610,TMAX,16.32
182610,TMIN,9.88
182611,TMAX,7.0
182611,TMIN,3.54
182612,TMAX,4.82
182612,TMIN,1.7
182701,TMAX,2.04
182701,TMIN,-2.82
182702,TMAX,0.24
182702,TMIN,-6.29
182703,TMAX,10.68
182703,TMIN,4.77
182704,TMAX,16.09
182704,TMIN,7.95
182705,TMAX,21.9
182705,TMIN,13.04
182706,TMAX,23.99
182706,TMIN,16.7
182707,TMAX,27.41
182707,TMIN,18.84
182708,TMAX,24.6
182708,TMIN,16.67
182709,TMAX,20.8
182709,TMIN,12.68
182710,TMAX,16.13
182710,TMIN,10.1
182711,TMAX,5.84
182711,TMIN,1.5
182712,TMAX,5.24
182712,TMIN,1.53
182801,TMAX,2.92
182801,TMIN,-1.9
182802,TMAX,4.03
182802,TMIN,-1.08
182803,TMAX,10.91
182803,TMIN,4.68
182804,TMAX,15.95
182804,TMIN,8.41
182805,TMAX,20.64
182805,TMIN,12.29
182806,TMAX,25.33
182806,TMIN,16.58
182807,TMAX,27.71
182807,TMIN,19.02
182808,TMAX,24.5
182808,TMIN,16.96
182809,TMAX,21.64
182809,TMIN,13.72
182810,TMAX,14.88
182810,TMIN,9.31
182811,TMAX,8.02
182811,TMIN,3.49
182812,TMAX,5.47
182812,TMIN,1.47
182901,TMAX,-0.3
182901,TMIN,-4.42
182902,TMAX,1.22
182902,TMIN,-4.74
182903,TMAX,8.02
182903,TMIN,1.9
182904,TMAX,15.67
182904,TMIN,8.03
182905,TMAX,19.48
182905,TMIN,11.23
182906,TMAX,23.01
182906,TMIN,14.8
182907,TMAX,26.56
182907,TMIN,18.16
182908,TMAX,23.85
182908,TMIN,15.89
182909,TMAX,20.04
182909,TMIN,13.81
182910,TMAX,13.66
182910,TMIN,8.15
182911,TMAX,5.22
182911,TMIN,0.96
182912,TMAX,-1.78
182912,TMIN,-5.98
183001,TMAX,-3.61
183001,TMIN,-8.58
183002,TMAX,1.02
183002,TMIN,-4.93
183003,TMAX,11.38
183003,TMIN,4.05
183004,TMAX,17.72
183004,TMIN,10.08
183005,TMAX,21.41
183005,TMIN,12.82
183006,TMAX,24.29
183006,TMIN,15.66
183007,TMAX,27.68
183007,TMIN,18.15
183008,TMAX,26.18
183008,TMIN,17.79
183009,TMAX,19.77
183009,TMIN,13.07
183010,TMAX,13.97
183010,TMIN,7.82
183011,TMAX,9.5
183011,TMIN,5.33
183012,TMAX,3.55
183012,TMIN,0.63
183101,TMAX,0.74
183101,TMIN,-3.29
183102,TMAX,5.18
183102,TMIN,-0.26
183103,TMAX,10.15
183103,TMIN,4.23
183104,TMAX,16.73
183104,TMIN,8.91
183105,TMAX,19.52
183105,TMIN,11.46
183106,TMAX,23.26
183106,TMIN,15.38
183107,TMAX,26.66
183107,TMIN,17.76
183108,TMAX,24.72
183108,TMIN,16.73
183109,TMAX,19.56
183109,TMIN,12.48
183110,TMAX,18.19
183110,TMIN,11.03
183111,TMAX,8.52
183111,TMIN,3.68
183112,TMAX,4.9
183112,TMIN,1.17
183201,TMAX,1.65
183201,TMIN,-2.66
183202,TMAX,5.54
183202,TMIN,-0.89
183203,TMAX,9.8
183203,TMIN,2.14
183204,TMAX,15.12
183204,TMIN,5.84
183205,TMAX,18.51
183205,TMIN,10.0
183206,TMAX,22.0
183206,TMIN,15.59
183207,TMAX,25.56
183207,TMIN,16.4
183208,TMAX,26.9
183208,TMIN,16.98
183209,TMAX,20.81
183209,TMIN,12.35
183210,TMAX,15.36
183210,TMIN,8.07
183211,TMAX,7.07
183211,TMIN,3.18
183212,TMAX,3.24
183212,TMIN,-0.94
183301,TMAX,0.31
183301,TMIN,-4.93
183302,TMAX,7.74
183302,TMIN,2.17
183303,TMAX,8.1
183303,TMIN,1.63
183304,TMAX,13.14
183304,TMIN,5.84
183305,TMAX,23.23
183305,TMIN,13.27
183306,TMAX,24.8
183306,TMIN,15.21
183307,TMAX,23.02
183307,TMIN,15.41
183308,TMAX,21.56
183308,TMIN,13.69
183309,TMAX,18.28
183309,TMIN,11.57
183310,TMAX,14.56
183310,TMIN,6.92
183311,TMAX,8.31
183311,TMIN,3.6
183312,TMAX,7.64
183312,TMIN,2.97
183401,TMAX,7.08
183401,TMIN,2.59
183402,TMAX,5.97
183402,TMIN,-0.84
183403,TMAX,10.27
183403,TMIN,2.55
183404,TMAX,12.94
183404,TMIN,5.01
183405,TMAX,22.23
183405,TMIN,12.72
183406,TMAX,25.05
183406,TMIN,14.98
183407,TMAX,28.07
183407,TMIN,17.72
183408,TMAX,25.81
183408,TMIN,16.97
183409,TMAX,23.42
183409,TMIN,13.51
183410,TMAX,15.8
183410,TMIN,8.03
183411,TMAX,8.69
183411,TMIN,3.76
183412,TMAX,5.08
183412,TMIN,0.33
183501,TMAX,4.74
183501,TMIN,-0.46
183502,TMAX,7.28
183502,TMIN,1.34
183503,TMAX,9.22
183503,TMIN,2.44
183504,TMAX,13.87
183504,TMIN,5.74
183505,TMAX,19.0
183505,TMIN,10.87
183506,TMAX,23.08
183506,TMIN,13.74
183507,TMAX,26.61
183507,TMIN,16.3
183508,TMAX,23.9
183508,TMIN,15.26
183509,TMAX,20.78
183509,TMIN,12.07
183510,TMAX,13.27
183510,TMIN,7.08
183511,TMAX,4.0
183511,TMIN,-0.36
183512,TMAX,1.95
183512,TMIN,-2.53
183601,TMAX,1.77
183601,TMIN,-3.23
183602,TMAX,4.49
183602,TMIN,-0.91
183603,TMAX,12.11
183603,TMIN,5.12
183604,TMAX,13.49
183604,TMIN,6.15
183605,TMAX,16.58
183605,TMIN,7.75
183606,TMAX,23.43
183606,TMIN,14.52
183607,TMAX,25.38
183607,TMIN,15.79
183608,TMAX,24.27
183608,TMIN,15.0
183609,TMAX,19.08
183609,TMIN,11.41
183610,TMAX,15.34
183610,TMIN,8.78
183611,TMAX,7.29
183611,TMIN,2.41
183612,TMAX,4.68
183612,TMIN,1.03
183701,TMAX,2.7
183701,TMIN,-1.49
183702,TMAX,4.83
183702,TMIN,-0.76
183703,TMAX,5.56
183703,TMIN,-0.61
183704,TMAX,11.29
183704,TMIN,4.27
183705,TMAX,16.33
183705,TMIN,8.66
183706,TMAX,23.98
183706,TMIN,14.47
183707,TMAX,23.6
183707,TMIN,14.93
183708,TMAX,25.84
183708,TMIN,16.9
183709,TMAX,18.64
183709,TMIN,10.69
183710,TMAX,14.59
183710,TMIN,8.02
183711,TMAX,6.92
183711,TMIN,2.71
183712,TMAX,4.09
183712,TMIN,0.01
183801,TMAX,-2.89
183801,TMIN,-8.52
183802,TMAX,1.3
183802,TMIN,-5.2
183803,TMAX,8.88
183803,TMIN,2.55
183804,TMAX,11.9
183804,TMIN,3.84
183805,TMAX,19.85
183805,TMIN,9.88
183806,TMAX,23.35
183806,TMIN,13.94
183807,TMAX,24.75
183807,TMIN,15.24
183808,TMAX,22.97
183808,TMIN,14.25
183809,TMAX,20.99
183809,TMIN,12.39
183810,TMAX,14.12
183810,TMIN,7.11
183811,TMAX,7.58
183811,TMIN,2.94
183812,TMAX,3.15
183812,TMIN,-1.16
183901,TMAX,3.25
183901,TMIN,-2.13
183902,TMAX,5.35
183902,TMIN,-1.27
183903,TMAX,7.16
183903,TMIN,0.65
183904,TMAX,11.04
183904,TMIN,3.44
183905,TMAX,18.83
183905,TMIN,9.82
183906,TMAX,25.81
183906,TMIN,15.73
183907,TMAX,26.6
183907,TMIN,16.18
183908,TMAX,23.6
183908,TMIN,14.12
183909,TMAX,21.7
183909,TMIN,12.76
183910,TMAX,15.62
183910,TMIN,9.59
183911,TMAX,9.59
183911,TMIN,5.23
183912,TMAX,6.13
183912,TMIN,2.16
184001,TMAX,3.84
184001,TMIN,-2.11
184002,TMAX,4.75
184002,TMIN,-0.96
184003,TMAX,5.71
184003,TMIN,-1.73
184004,TMAX,14.67
184004,TMIN,4.94
184005,TMAX,18.6
184005,TMIN,9.57
184006,TMAX,23.34
184006,TMIN,13.37
184007,TMAX,23.89
184007,TMIN,14.55
184008,TMAX,24.53
184008,TMIN,14.66
184009,TMAX,19.64
184009,TMIN,11.26
184010,TMAX,12.9
184010,TMIN,5.87
184011,TMAX,9.73
184011,TMIN,4.04
184012,TMAX,-0.58
184012,TMIN,-6.27
184101,TMAX,1.6
184101,TMIN,-4.37
184102,TMAX,1.33
184102,TMIN,-5.05
184103,TMAX,10.09
184103,TMIN,1.89
184104,TMAX,14.57
184104,TMIN,5.59
184105,TMAX,22.38
184105,TMIN,11.81
184106,TMAX,22.6
184106,TMIN,13.14
184107,TMAX,24.39
184107,TMIN,14.37
184108,TMAX,24.38
184108,TMIN,14.11
184109,TMAX,22.28
184109,TMIN,12.9
184110,TMAX,15.27
184110,TMIN,8.41
184111,TMAX,8.46
184111,TMIN,2.44
184112,TMAX,5.82
184112,TMIN,1.17
184201,TMAX,0.32
184201,TMIN,-5.17
184202,TMAX,4.23
184202,TMIN,-3.24
184203,TMAX,10.02
184203,TMIN,2.58
184204,TMAX,13.21
184204,TMIN,3.92
184205,TMAX,19.52
184205,TMIN,9.2
184206,TMAX,23.74
184206,TMIN,13.2
184207,TMAX,25.26
184207,TMIN,14.43
184208,TMAX,27.27
184208,TMIN,15.88
184209,TMAX,19.57
184209,TMIN,11.4
184210,TMAX,12.41
184210,TMIN,5.5
184211,TMAX,5.54
184211,TMIN,0.53
184212,TMAX,4.67
184212,TMIN,-0.34
184301,TMAX,4.18
184301,TMIN,-1.32
184302,TMAX,4.47
184302,TMIN,-0.6
184303,TMAX,7.52
184303,TMIN,-0.36
184304,TMAX,14.19
184304,TMIN,5.24
184305,TMAX,18.02
184305,TMIN,8.48
184306,TMAX,20.82
184306,TMIN,11.71
184307,TMAX,24.41
184307,TMIN,14.3
184308,TMAX,24.94
184308,TMIN,14.91
184309,TMAX,21.07
184309,TMIN,11.26
184310,TMAX,14.09
184310,TMIN,6.84
184311,TMAX,8.04
184311,TMIN,3.06
184312,TMAX,5.04
184312,TMIN,0.26
184401,TMAX,2.63
184401,TMIN,-3.05
184402,TMAX,3.85
184402,TMIN,-2.31
184403,TMAX,7.81
184403,TMIN,0.83
184404,TMAX,16.35
184404,TMIN,5.95
184405,TMAX,18.23
184405,TMIN,8.87
184406,TMAX,22.95
184406,TMIN,12.71
184407,TMAX,23.13
184407,TMIN,13.77
184408,TMAX,21.93
184408,TMIN,12.97
184409,TMAX,20.46
184409,TMIN,11.77
184410,TMAX,14.16
184410,TMIN,7.07
184411,TMAX,8.67
184411,TMIN,3.81
184412,TMAX,1.29
184412,TMIN,-3.46
184501,TMAX,4.01
184501,TMIN,-0.63
184502,TMAX,1.3
184502,TMIN,-4.98
184503,TMAX,4.74
184503,TMIN,-2.28
184504,TMAX,14.63
184504,TMIN,4.95
184505,TMAX,16.43
184505,TMIN,7.56
184506,TMAX,23.0
184506,TMIN,13.22
184507,TMAX,24.5
184507,TMIN,14.39
184508,TMAX,22.2
184508,TMIN,13.07
184509,TMAX,18.88
184509,TMIN,10.06
184510,TMAX,14.64
184510,TMIN,7.22
184511,TMAX,9.35
184511,TMIN,3.59
184512,TMAX,5.05
184512,TMIN,-0.45
184601,TMAX,5.13
184601,TMIN,-0.49
184602,TMAX,7.04
184602,TMIN,-0.3
184603,TMAX,10.5
184603,TMIN,2.81
184604,TMAX,14.03
184604,TMIN,6.09
184605,TMAX,19.07
184605,TMIN,9.77
184606,TMAX,25.32
184606,TMIN,14.64
184607,TMAX,26.31
184607,TMIN,16.04
184608,TMAX,25.03
184608,TMIN,15.92
184609,TMAX,21.3
184609,TMIN,12.36
184610,TMAX,14.34
184610,TMIN,8.05
184611,TMAX,7.85
184611,TMIN,2.89
184612,TMAX,0.95
184612,TMIN,-3.77
184701,TMAX,1.44
184701,TMIN,-3.03
184702,TMAX,3.24
184702,TMIN,-2.46
184703,TMAX,7.86
184703,TMIN,-0.19
184704,TMAX,11.81
184704,TMIN,3.87
184705,TMAX,21.14
184705,TMIN,10.75
184706,TMAX,20.8
184706,TMIN,11.32
184707,TMAX,25.36
184707,TMIN,15.33
184708,TMAX,23.93
184708,TMIN,14.37
184709,TMAX,17.91
184709,TMIN,9.93
184710,TMAX,13.61
184710,TMIN,6.71
184711,TMAX,8.39
184711,TMIN,2.74
184712,TMAX,3.56
184712,TMIN,-0.92
184801,TMAX,-0.74
184801,TMIN,-5.83
184802,TMAX,5.97
184802,TMIN,0.16
184803,TMAX,8.97
184803,TMIN,2.17
184804,TMAX,14.81
184804,TMIN,5.92
184805,TMAX,19.89
184805,TMIN,9.31
184806,TMAX,23.38
184806,TMIN,13.7
184807,TMAX,24.33
184807,TMIN,14.43
184808,TMAX,23.54
184808,TMIN,14.16
184809,TMAX,19.14
184809,TMIN,10.29
184810,TMAX,14.24
184810,TMIN,7.81
184811,TMAX,6.9
184811,TMIN,1.91
184812,TMAX,4.81
184812,TMIN,-1.09
184901,TMAX,2.73
184901,TMIN,-3.44
184902,TMAX,6.95
184902,TMIN,0.29
184903,TMAX,8.36
184903,TMIN,1.11
184904,TMAX,11.93
184904,TMIN,4.01
184905,TMAX,18.78
184905,TMIN,9.49
184906,TMAX,23.52
184906,TMIN,13.54
184907,TMAX,24.16
184907,TMIN,13.92
184908,TMAX,23.02
184908,TMIN,13.85
184909,TMAX,19.75
184909,TMIN,11.0
184910,TMAX,13.77
184910,TMIN,7.13
184911,TMAX,8.04
184911,TMIN,2.33
184912,TMAX,2.83
184912,TMIN,-2.04
185001,TMAX,0.2
185001,TMIN,-5.4
185002,TMAX,7.14
185002,TMIN,0.49
185003,TMAX,7.53
185003,TMIN,-0.42
185004,TMAX,13.51
185004,TMIN,5.39
185005,TMAX,17.29
185005,TMIN,8.09
185006,TMAX,22.83
185006,TMIN,13.32
185007,TMAX,24.14
185007,TMIN,14.77
185008,TMAX,22.91
185008,TMIN,14.32
185009,TMAX,18.34
185009,TMIN,9.64
185010,TMAX,12.13
185010,TMIN,5.58
185011,TMAX,9.08
185011,TMIN,3.5
185012,TMAX,4.58
185012,TMIN,-0.41
185101,TMAX,4.53
185101,TMIN,-0.55
185102,TMAX,5.35
185102,TMIN,-0.74
185103,TMAX,9.09
185103,TMIN,1.65
185104,TMAX,14.19
185104,TMIN,6.36
185105,TMAX,17.43
185105,TMIN,6.04
185106,TMAX,23.3
185106,TMIN,13.21
185107,TMAX,21.42
185107,TMIN,14.71
185108,TMAX,23.95
185108,TMIN,14.43
185109,TMAX,18.9
185109,TMIN,11.2
185110,TMAX,15.44
185110,TMIN,8.48
185111,TMAX,5.41
185111,TMIN,0.45
185112,TMAX,3.66
185112,TMIN,-1.49
185201,TMAX,5.17
185201,TMIN,-0.11
185202,TMAX,6.42
185202,TMIN,0.17
185203,TMAX,8.19
185203,TMIN,0.03
185204,TMAX,13.05
185204,TMIN,3.91
185205,TMAX,19.37
185205,TMIN,9.57
185206,TMAX,22.64
185206,TMIN,13.06
185207,TMAX,26.44
185207,TMIN,15.73
185208,TMAX,24.43
185208,TMIN,15.08
185209,TMAX,20.06
185209,TMIN,11.75
185210,TMAX,14.39
185210,TMIN,6.91
185211,TMAX,10.61
185211,TMIN,5.46
185212,TMAX,7.72
185212,TMIN,2.79
185301,TMAX,5.66
185301,TMIN,0.7
185302,TMAX,3.36
185302,TMIN,-2.06
185303,TMAX,6.32
185303,TMIN,-0.97
185304,TMAX,12.71
185304,TMIN,4.72
185305,TMAX,18.0
185305,TMIN,8.73
185306,TMAX,22.56
185306,TMIN,13.07
185307,TMAX,25.22
185307,TMIN,15.13
185308,TMAX,25.25
185308,TMIN,15.17
185309,TMAX,19.93
185309,TMIN,11.44
185310,TMAX,14.91
185310,TMIN,7.18
185311,TMAX,8.42
185311,TMIN,3.26
185312,TMAX,1.9
185312,TMIN,-3.43
185401,TMAX,3.38
185401,TMIN,-2.22
185402,TMAX,4.72
185402,TMIN,-2.37
185403,TMAX,9.63
185403,TMIN,1.48
185404,TMAX,14.56
185404,TMIN,3.98
185405,TMAX,18.25
185405,TMIN,8.13
185406,TMAX,21.24
185406,TMIN,11.79
185407,TMAX,24.9
185407,TMIN,14.29
185408,TMAX,23.5
185408,TMIN,13.3
185409,TMAX,20.83
185409,TMIN,9.97
185410,TMAX,14.7
185410,TMIN,6.93
185411,TMAX,6.49
185411,TMIN,1.16
185412,TMAX,5.41
185412,TMIN,-0.13
185501,TMAX,1.73
185501,TMIN,-3.84
185502,TMAX,-0.37
185502,TMIN,-6.92
185503,TMAX,7.18
185503,TMIN,0.15
185504,TMAX,13.21
185504,TMIN,4.01
185505,TMAX,17.49
185505,TMIN,7.37
185506,TMAX,21.24
185506,TMIN,11.75
185507,TMAX,23.26
185507,TMIN,13.7
185508,TMAX,23.19
185508,TMIN,13.37
185509,TMAX,19.19
185509,TMIN,10.34
185510,TMAX,15.77
185510,TMIN,8.37
185511,TMAX,8.93
185511,TMIN,3.43
185512,TMAX,3.4
185512,TMIN,-2.5
185601,TMAX,5.61
185601,TMIN,-0.04
185602,TMAX,8.36
185602,TMIN,1.5
185603,TMAX,9.15
185603,TMIN,0.85
185604,TMAX,15.66
185604,TMIN,5.85
185605,TMAX,17.25
185605,TMIN,8.21
185606,TMAX,21.99
185606,TMIN,12.21
185607,TMAX,22.31
185607,TMIN,12.4
185608,TMAX,23.61
185608,TMIN,13.83
185609,TMAX,16.76
185609,TMIN,9.61
185610,TMAX,15.77
185610,TMIN,7.04
185611,TMAX,7.42
185611,TMIN,0.95
185612,TMAX,6.31
185612,TMIN,0.47
185701,TMAX,4.42
185701,TMIN,-1.53
185702,TMAX,7.3
185702,TMIN,-0.15
185703,TMAX,10.51
185703,TMIN,2.6
185704,TMAX,16.4
185704,TMIN,6.96
185705,TMAX,20.18
185705,TMIN,9.97
185706,TMAX,23.87
185706,TMIN,11.43
185707,TMAX,25.74
185707,TMIN,15.45
185708,TMAX,24.42
185708,TMIN,14.36
185709,TMAX,22.5
185709,TMIN,13.14
185710,TMAX,16.66
185710,TMIN,9.07
185711,TMAX,9.8
185711,TMIN,3.45
185712,TMAX,8.92
185712,TMIN,2.48
185801,TMAX,8.76
185801,TMIN,0.1
185802,TMAX,8.84
185802,TMIN,-0.75
185803,TMAX,15.0
185803,TMIN,4.19
185804,TMAX,18.4
185804,TMIN,6.64
185805,TMAX,20.3
185805,TMIN,9.35
185806,TMAX,24.98
185806,TMIN,13.31
185807,TMAX,23.71
185807,TMIN,13.4
185808,TMAX,23.83
185808,TMIN,13.72
185809,TMAX,22.52
185809,TMIN,12.1
185810,TMAX,18.72
185810,TMIN,9.28
185811,TMAX,12.34
185811,TMIN,3.69
185812,TMAX,11.94
185812,TMIN,3.99
185901,TMAX,12.54
185901,TMIN,4.16
185902,TMAX,14.3
185902,TMIN,5.33
185903,TMAX,17.41
185903,TMIN,6.8
185904,TMAX,18.16
185904,TMIN,7.23
185905,TMAX,20.27
